,theme,number of places
0,Trending This Week,30 Places
1,Pro Selection,28 Places
2,Newly Opened,56 Places
3,Taco a Taco - Sabores Mexicanos,23 Places
4,Pet friendly,49 Places
5,Menus de Grupo,28 Places
6,Asian Flavors,35 Places
7,Veggie Friendly,33 Places
8,Steakhouses,50 Places
9,Eco Friendly,40 Places
10,Pro Outdoor Seating,50 Places
11,Vegan's Choice,22 Places
12,Brain Food,18 Places
13,Top Italian,44 Places
14,Amor à Mesa,53 Places
15,Best Pizza Places In Town,33 Places
16,Kickass Burgers,30 Places
17,Rooftops,36 Places
18,Francesinhas,10 Places
19,To share...if you like.,37 Places
20,Outdoor Seating,160 Places
21,Lugar à Mesa para Todos,142 Places
22,Taste Of The Mediterranean,23 Places
23,Best Tascas in town,53 Places
24,Brunches,30 Places
25,Super Sushi,50 Places
26,Healthy Options,33 Places
27,Best Indian Restaurants,31 Places
28,LGBT+ Pride - Lisboa,26 Places
29,Hidden Gems,56 Places
30,"Great Food, No Bull",158 Places
31,Accessible Restaurants,30 Places
32,Luxury Dining,18 Places
33,Moody days,25 Places
34,Super Seafood,29 Places
35,Frozen Delights,25 Places
36,Live Sports Screenings,39 Places
37,Flavour Route,14 Places
38,Menus with Coca-Cola,72 Places
