,theme,number of places
0,Trending This Week,30 Places
1,Terrific teriyaki,11 Places
2,Gourmet Pizza,21 Places
3,Poke & crudo,15 Places
4,Great Coffee,24 Places
5,Pet Friendly,21 Places
6,Charcuterie,30 Places
7,Iconic Seattle,19 Places
8,Kickass Burgers,18 Places
9,Late Night Restaurants,18 Places
10,Best Bakeries,30 Places
11,Farm-to-table,13 Places
12,Super Sushi,16 Places
13,Tapas & Wine Bars,16 Places
14,Gluten-free,17 Places
15,Truckin' awesome,16 Places
16,Hipster Hangouts,24 Places
17,Mexican Magic,23 Places
18,Artisan Cocktails,22 Places
19,Cheap Eats,17 Places
20,Craft cider,16 Places
21,Child friendly,16 Places
22,Brunches,19 Places
23,Date Night,19 Places
24,Value For Money,16 Places
25,Tasty Tacos,20 Places
26,Happy Hours,28 Places
27,Super Seafood,19 Places
28,Frozen Delights,18 Places
29,Waterfront,15 Places
30,Gourmet Sandwiches,19 Places
31,Fish & Chips,12 Places
32,Hot chocolate spots,13 Places
33,Heated patio,11 Places
34,Wings galore,15 Places
35,Lunch menu,15 Places
36,From the movies,15 Places
